---------------------------------------------
1 ROUGE-1 Average_R: 0.04882 (95%-conf.int. 0.03623 - 0.06201)
1 ROUGE-1 Average_P: 0.06257 (95%-conf.int. 0.04625 - 0.08031)
1 ROUGE-1 Average_F: 0.05459 (95%-conf.int. 0.04070 - 0.06971)
.............................................
1 ROUGE-1 Eval D1028-A.M.100.1 R:0.13333 P:0.15385 F:0.14286
1 ROUGE-1 Eval D1028-A.M.100.E.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1029-A.M.100.1 R:0.12917 P:0.15500 F:0.14091
1 ROUGE-1 Eval D1029-A.M.100.F.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1030-A.M.100.1 R:0.01587 P:0.02174 F:0.01835
1 ROUGE-1 Eval D1030-A.M.100.F.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1031-A.M.100.1 R:0.04898 P:0.06000 F:0.05393
1 ROUGE-1 Eval D1031-A.M.100.F.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1032-A.M.100.1 R:0.11832 P:0.15500 F:0.13420
1 ROUGE-1 Eval D1032-A.M.100.F.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1033-A.M.100.1 R:0.07851 P:0.07422 F:0.07630
1 ROUGE-1 Eval D1033-A.M.100.F.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1034-A.M.100.1 R:0.06173 P:0.06818 F:0.06479
1 ROUGE-1 Eval D1034-A.M.100.F.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1035-A.M.100.1 R:0.13415 P:0.19186 F:0.15790
1 ROUGE-1 Eval D1035-A.M.100.G.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1036-A.M.100.1 R:0.10204 P:0.14535 F:0.11990
1 ROUGE-1 Eval D1036-A.M.100.G.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1037-A.M.100.1 R:0.00463 P:0.00625 F:0.00532
1 ROUGE-1 Eval D1037-A.M.100.G.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1038-A.M.100.1 R:0.04314 P:0.06250 F:0.05105
1 ROUGE-1 Eval D1038-A.M.100.G.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1039-A.M.100.1 R:0.08571 P:0.12805 F:0.10269
1 ROUGE-1 Eval D1039-A.M.100.G.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1040-A.M.100.1 R:0.07660 P:0.09783 F:0.08592
1 ROUGE-1 Eval D1040-A.M.100.G.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1041-A.M.100.1 R:0.06693 P:0.09239 F:0.07763
1 ROUGE-1 Eval D1041-A.M.100.H.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1042-A.M.100.1 R:0.20628 P:0.22549 F:0.21546
1 ROUGE-1 Eval D1042-A.M.100.H.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1043-A.M.100.1 R:0.09746 P:0.13068 F:0.11165
1 ROUGE-1 Eval D1043-A.M.100.H.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1044-A.M.100.1 R:0.16878 P:0.27027 F:0.20779
1 ROUGE-1 Eval D1044-A.M.100.H.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1045-A.M.100.1 R:0.05512 P:0.08140 F:0.06573
1 ROUGE-1 Eval D1045-A.M.100.H.D3test.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-1 Eval D1046-A.M.100.1 R:0.12992 P:0.17553 F:0.14932
1 ROUGE-1 Eval D1046-A.M.100.H.D3test.1 R:0.00000 P:0.00000 F:0.00000
---------------------------------------------
1 ROUGE-2 Average_R: 0.01028 (95%-conf.int. 0.00628 - 0.01505)
1 ROUGE-2 Average_P: 0.01355 (95%-conf.int. 0.00803 - 0.02025)
1 ROUGE-2 Average_F: 0.01164 (95%-conf.int. 0.00702 - 0.01712)
.............................................
1 ROUGE-2 Eval D1001-A.M.100.1 R:0.02510 P:0.03409 F:0.02891
