---------------------------------------------
1 ROUGE-2 Eval D1017-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1018-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1019-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1020-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1021-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1022-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1023-A.M.100.E.1 R:0.00420 P:0.00543 F:0.00474
1 ROUGE-2 Eval D1024-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1025-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1026-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1027-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1028-A.M.100.E.1 R:0.00847 P:0.01190 F:0.00990
1 ROUGE-2 Eval D1029-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1030-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1031-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1032-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1033-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1034-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1035-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1036-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1037-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1038-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1039-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1040-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1041-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1042-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1043-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1044-A.M.100.H.1 R:0.00000 P:0.00000 F:0.00000
